id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
27,36,1,Travel_Rarely,Sales,9,Secundaria,Life Sciences,Alta,Media,1,Sales Representative,Alta,Single,3407,7,No,23,Muy_Alta,Media,0,10,4,5,0,3
28,34,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,11994,0,No,11,Alta,Alta,0,13,4,12,2,11
30,21,0,Travel_Rarely,Research & Development,15,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Single,1232,1,No,14,Alta,Muy_Alta,0,0,6,0,0,0
31,34,1,Travel_Rarely,Research & Development,6,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Single,2960,2,No,11,Alta,Alta,0,8,2,4,1,3
32,53,0,Travel_Rarely,Research & Development,5,Universitaria,Other,Alta,Alta,5,Manager,Alta,Divorced,19094,4,No,11,Alta,Muy_Alta,1,26,3,14,4,8
33,32,1,Travel_Frequently,Research & Development,16,Primaria,Life Sciences,Media,Baja,1,Research Scientist,Alta,Single,3919,1,Yes,22,Muy_Alta,Media,0,10,5,10,6,7
35,42,0,Travel_Rarely,Sales,8,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6825,0,No,11,Alta,Muy_Alta,1,10,2,9,4,2
36,44,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Media,Married,10248,3,No,14,Alta,Muy_Alta,1,24,4,22,5,17
38,46,0,Travel_Rarely,Sales,2,Universitaria,Marketing,Media,Alta,5,Manager,Alta,Single,18947,3,No,12,Alta,Muy_Alta,0,22,2,2,2,1
39,33,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Single,2496,4,No,11,Alta,Muy_Alta,0,7,3,1,0,0
40,44,0,Travel_Rarely,Research & Development,10,Universitaria,Other,Muy_Alta,Alta,2,Healthcare Representative,Alta,Married,6465,2,Yes,13,Alta,Muy_Alta,0,9,5,4,1,3
41,30,0,Travel_Rarely,Research & Development,9,Universitaria,Medical,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,2206,1,No,13,Alta,Baja,0,10,5,10,1,8
42,39,1,Travel_Rarely,Sales,5,Universitaria,Technical Degree,Muy_Alta,Alta,2,Sales Representative,Alta,Married,2086,3,No,14,Alta,Alta,1,19,6,1,0,0
45,24,1,Travel_Rarely,Research & Development,1,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2293,2,Yes,16,Alta,Baja,1,6,2,2,2,0
46,43,0,Travel_Rarely,Research & Development,2,Master,Medical,Muy_Alta,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,2645,1,No,12,Alta,Muy_Alta,2,6,3,5,1,4
47,50,1,Travel_Rarely,Sales,3,Secundaria,Marketing,Baja,Media,1,Sales Representative,Media,Married,2683,1,Yes,14,Alta,Alta,0,3,2,3,0,2
49,35,0,Travel_Rarely,Sales,2,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Married,2014,1,No,13,Alta,Baja,0,2,3,2,2,2
51,36,0,Travel_Rarely,Research & Development,5,Secundaria,Life Sciences,Media,Media,1,Research Scientist,Media,Married,3419,9,Yes,14,Alta,Muy_Alta,1,6,3,1,0,0
52,33,0,Travel_Frequently,Sales,1,Master,Life Sciences,Alta,Muy_Alta,2,Sales Executive,Muy_Alta,Married,5376,2,No,19,Alta,Baja,2,10,3,5,1,3
53,35,0,Travel_Rarely,Research & Development,4,Universitaria,Other,Alta,Alta,1,Laboratory Technician,Alta,Divorced,1951,1,No,12,Alta,Alta,1,1,3,1,0,0
54,27,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2341,1,No,13,Alta,Muy_Alta,1,1,6,1,0,0
55,26,1,Travel_Rarely,Research & Development,25,Universitaria,Life Sciences,Baja,Baja,1,Laboratory Technician,Baja,Single,2293,1,No,12,Alta,Alta,0,1,2,1,0,1
56,27,0,Travel_Frequently,Sales,8,Universitaria,Life Sciences,Muy_Alta,Alta,3,Sales Executive,Alta,Single,8726,1,No,15,Alta,Muy_Alta,0,9,0,9,1,7
57,30,0,Travel_Frequently,Research & Development,1,Universitaria,Medical,Alta,Alta,2,Laboratory Technician,Alta,Single,4011,1,No,23,Muy_Alta,Muy_Alta,0,12,2,12,3,7
58,41,1,Travel_Rarely,Research & Development,12,Universitaria,Technical Degree,Media,Alta,5,Research Director,Alta,Married,19545,1,No,12,Alta,Muy_Alta,0,23,0,22,15,8
60,34,0,Non-Travel,Sales,23,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Single,4568,0,No,20,Muy_Alta,Alta,0,10,2,9,8,7
61,37,0,Travel_Rarely,Research & Development,19,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,3022,4,No,21,Muy_Alta,Baja,0,8,1,1,0,0
62,46,0,Travel_Frequently,Sales,5,Universitaria,Marketing,Baja,Alta,2,Sales Executive,Alta,Single,5772,4,Yes,21,Muy_Alta,Alta,0,14,4,9,0,8
63,35,0,Travel_Rarely,Research & Development,8,Master,Life Sciences,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2269,1,No,19,Alta,Muy_Alta,0,1,2,1,0,1
64,48,1,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Baja,Media,3,Laboratory Technician,Media,Single,5381,9,Yes,13,Alta,Muy_Alta,0,23,2,1,0,0
65,28,1,Travel_Rarely,Research & Development,5,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Single,3441,1,Yes,13,Alta,Alta,0,2,3,2,2,2
68,44,0,Travel_Rarely,Sales,1,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Divorced,5454,5,Yes,21,Muy_Alta,Alta,1,9,2,4,1,3
70,35,0,Non-Travel,Research & Development,11,Universitaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,9884,2,Yes,13,Alta,Alta,1,10,3,4,2,3
72,26,0,Travel_Rarely,Sales,23,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Married,4157,7,Yes,19,Alta,Alta,1,5,2,2,0,0
73,33,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,13458,1,Yes,12,Alta,Alta,0,15,1,15,8,12
74,35,0,Travel_Frequently,Sales,18,Universitaria,Life Sciences,Media,Alta,3,Sales Executive,Alta,Married,9069,1,No,22,Muy_Alta,Muy_Alta,1,9,3,9,1,8
75,35,0,Travel_Rarely,Research & Development,23,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Married,4014,3,Yes,15,Alta,Alta,1,4,3,2,2,2
76,31,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Divorced,5915,3,No,22,Muy_Alta,Muy_Alta,1,10,3,7,1,7
77,37,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Baja,Media,2,Manufacturing Director,Media,Divorced,5993,1,No,18,Alta,Alta,1,7,2,7,0,7
78,32,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,6162,1,Yes,22,Muy_Alta,Media,1,9,3,9,7,8
79,38,0,Travel_Frequently,Research & Development,29,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Single,2406,1,No,11,Alta,Muy_Alta,0,10,2,10,9,9
80,50,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Media,Media,5,Research Director,Media,Divorced,18740,5,Yes,12,Alta,Muy_Alta,1,29,2,27,13,8
81,59,0,Travel_Rarely,Sales,25,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Single,7637,7,No,11,Alta,Muy_Alta,0,28,3,21,7,9
83,36,0,Travel_Rarely,Research & Development,8,Universitaria,Technical Degree,Alta,Alta,3,Healthcare Representative,Alta,Divorced,10096,1,No,13,Alta,Media,3,17,2,17,12,8
84,55,0,Travel_Rarely,Research & Development,8,Universitaria,Medical,Muy_Alta,Alta,4,Manager,Alta,Divorced,14756,2,Yes,14,Alta,Alta,3,21,2,5,0,2
85,36,0,Travel_Frequently,Research & Development,11,Universitaria,Life Sciences,Media,Alta,2,Manufacturing Director,Alta,Single,6499,1,No,13,Alta,Alta,0,6,3,6,0,3
86,45,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Media,Alta,3,Research Scientist,Alta,Divorced,9724,2,No,17,Alta,Alta,1,25,2,1,0,0
88,35,0,Travel_Frequently,Research & Development,1,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2194,4,No,13,Alta,Muy_Alta,1,5,2,3,1,2
90,36,1,Travel_Rarely,Research & Development,9,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,3388,0,Yes,17,Alta,Baja,1,2,0,1,0,0
91,59,0,Travel_Frequently,Sales,1,Secundaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Single,5473,7,No,11,Alta,Muy_Alta,0,20,2,4,1,3
94,29,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Married,2703,0,No,23,Muy_Alta,Muy_Alta,1,6,3,5,0,4
95,31,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Alta,Alta,1,Research Scientist,Alta,Single,2501,1,No,17,Alta,Media,0,1,4,1,1,0
96,32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Media,Alta,2,Research Scientist,Alta,Married,6220,1,No,17,Alta,Media,2,10,3,10,0,9
97,36,0,Travel_Rarely,Research & Development,6,Master,Life Sciences,Media,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,3038,3,No,12,Alta,Media,0,5,3,1,0,0
98,31,0,Travel_Rarely,Research & Development,8,Universitaria,Life Sciences,Alta,Alta,2,Manufacturing Director,Alta,Single,4424,1,No,23,Muy_Alta,Muy_Alta,0,11,2,11,1,8
100,35,0,Travel_Rarely,Sales,1,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,4312,0,No,14,Alta,Media,0,16,2,15,2,8
101,45,0,Travel_Rarely,Research & Development,6,Universitaria,Other,Muy_Alta,Alta,3,Research Director,Alta,Married,13245,4,Yes,14,Alta,Media,0,17,3,0,0,0
102,37,0,Travel_Rarely,Research & Development,7,Universitaria,Medical,Baja,Alta,3,Research Director,Alta,Single,13664,4,No,13,Alta,Baja,0,16,3,5,0,2
103,46,0,Travel_Rarely,Human Resources,5,Universitaria,Medical,Media,Alta,2,Human Resources,Alta,Divorced,5021,8,Yes,22,Muy_Alta,Muy_Alta,1,16,2,4,0,2
104,30,0,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Married,5126,1,Yes,12,Alta,Alta,2,10,1,10,3,0
105,35,0,Travel_Rarely,Research & Development,1,Secundaria,Medical,Media,Media,1,Research Scientist,Media,Single,2859,1,No,18,Alta,Baja,0,6,3,6,0,4
106,55,0,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Married,10239,3,No,14,Alta,Muy_Alta,1,24,4,1,1,0
107,38,0,Non-Travel,Research & Development,6,Primaria,Medical,Media,Baja,2,Research Scientist,Baja,Divorced,5329,7,Yes,12,Alta,Muy_Alta,3,17,3,13,1,9
110,34,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,4325,1,No,15,Alta,Alta,0,5,2,5,1,3
112,56,0,Travel_Rarely,Research & Development,7,Primaria,Life Sciences,Muy_Alta,Baja,3,Manufacturing Director,Baja,Single,7260,4,No,11,Alta,Baja,0,37,3,6,0,2
113,23,0,Travel_Rarely,Sales,2,Universitaria,Technical Degree,Alta,Alta,1,Sales Representative,Alta,Divorced,2322,3,No,13,Alta,Alta,1,3,3,0,0,0
116,51,0,Travel_Rarely,Research & Development,9,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Married,2075,3,No,23,Muy_Alta,Media,2,10,4,4,0,3
117,30,0,Travel_Rarely,Research & Development,2,Secundaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Married,4152,1,No,19,Alta,Baja,3,11,3,11,10,8
118,46,1,Travel_Rarely,Sales,9,Secundaria,Medical,Alta,Media,3,Sales Executive,Media,Single,9619,1,No,16,Alta,Muy_Alta,0,9,3,9,4,7
119,40,0,Travel_Frequently,Research & Development,1,Secundaria,Life Sciences,Alta,Media,4,Healthcare Representative,Media,Married,13503,1,No,22,Muy_Alta,Muy_Alta,1,22,3,22,11,11
120,51,0,Travel_Rarely,Sales,21,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Single,5441,0,Yes,22,Muy_Alta,Muy_Alta,0,11,2,10,1,0
121,30,0,Travel_Rarely,Sales,4,Secundaria,Medical,Alta,Media,2,Sales Executive,Media,Divorced,5209,1,Yes,12,Alta,Media,3,11,4,11,2,7
124,46,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,10673,2,Yes,13,Alta,Alta,1,21,5,10,9,5
125,32,0,Travel_Rarely,Sales,6,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Single,5010,1,No,16,Alta,Baja,0,12,0,11,5,7
126,54,0,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,Baja,Alta,3,Research Director,Alta,Married,13549,9,No,12,Alta,Baja,1,16,5,4,0,3
128,24,0,Travel_Rarely,Sales,3,Universitaria,Other,Baja,Alta,2,Sales Executive,Alta,Married,4999,0,No,21,Muy_Alta,Baja,1,4,2,3,0,2
129,28,0,Non-Travel,Sales,4,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Married,4221,1,No,15,Alta,Media,0,5,3,5,0,4
131,58,0,Travel_Rarely,Sales,10,Universitaria,Medical,Muy_Alta,Alta,4,Sales Executive,Alta,Single,13872,0,No,13,Alta,Alta,0,38,1,37,1,8
132,44,0,Non-Travel,Research & Development,23,Universitaria,Medical,Media,Alta,2,Laboratory Technician,Alta,Married,2042,4,No,12,Alta,Alta,1,17,3,3,1,2
133,37,1,Travel_Rarely,Human Resources,6,Universitaria,Human Resources,Alta,Alta,1,Human Resources,Alta,Divorced,2073,4,Yes,22,Muy_Alta,Muy_Alta,0,7,3,3,0,2
134,32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,2956,1,No,13,Alta,Muy_Alta,0,1,2,1,0,0
137,20,1,Travel_Frequently,Research & Development,6,Secundaria,Life Sciences,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2926,1,Yes,18,Alta,Media,0,1,5,1,1,0
138,34,0,Travel_Rarely,Research & Development,6,Universitaria,Other,Baja,Alta,2,Research Scientist,Alta,Single,4809,1,No,14,Alta,Alta,0,16,3,16,2,10
139,37,0,Non-Travel,Research & Development,2,Universitaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Divorced,5163,5,No,14,Alta,Muy_Alta,1,17,2,1,0,0
140,59,0,Non-Travel,Human Resources,2,Secundaria,Human Resources,Alta,Media,5,Manager,Media,Married,18844,9,No,21,Muy_Alta,Muy_Alta,1,30,3,3,2,2
141,50,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Married,18172,3,Yes,19,Alta,Baja,0,28,1,8,0,7
142,25,1,Travel_Rarely,Sales,5,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,5744,1,Yes,11,Alta,Muy_Alta,0,6,1,6,0,3
143,25,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,2889,1,No,11,Alta,Alta,2,2,2,2,2,1
144,22,0,Travel_Rarely,Research & Development,15,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Single,2871,1,No,15,Alta,Alta,0,1,5,0,0,0
145,51,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Alta,Single,7484,3,No,20,Muy_Alta,Alta,0,23,1,13,12,8
147,34,1,Travel_Frequently,Research & Development,7,Primaria,Life Sciences,Baja,Baja,2,Laboratory Technician,Baja,Single,6074,1,Yes,24,Muy_Alta,Muy_Alta,0,9,3,9,0,6
148,54,0,Non-Travel,Human Resources,26,Master,Human Resources,Muy_Alta,Muy_Alta,4,Manager,Muy_Alta,Single,17328,2,Yes,12,Alta,Alta,0,23,3,5,4,4
150,24,0,Travel_Rarely,Research & Development,18,Universitaria,Life Sciences,Media,Alta,1,Laboratory Technician,Alta,Married,2774,0,No,12,Alta,Alta,1,6,2,5,1,2
151,34,0,Travel_Rarely,Research & Development,6,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Divorced,4505,6,No,15,Alta,Alta,1,12,3,1,0,0
152,37,0,Travel_Rarely,Sales,3,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Single,7428,2,No,12,Alta,Baja,0,12,3,5,1,3
153,34,0,Travel_Rarely,Research & Development,5,Secundaria,Medical,Alta,Media,3,Manager,Media,Single,11631,2,No,12,Alta,Muy_Alta,0,14,6,11,5,8
154,36,0,Travel_Frequently,Sales,11,Universitaria,Technical Degree,Media,Alta,3,Sales Executive,Alta,Married,9738,0,No,14,Alta,Alta,1,10,6,9,2,8
155,36,0,Travel_Rarely,Research & Development,3,Universitaria,Life Sciences,Baja,Alta,1,Laboratory Technician,Alta,Divorced,2835,5,No,22,Muy_Alta,Baja,1,7,2,1,0,0
158,43,0,Travel_Frequently,Sales,26,Universitaria,Life Sciences,Alta,Alta,4,Manager,Alta,Married,16959,1,Yes,12,Alta,Muy_Alta,2,25,3,25,4,12
159,30,0,Travel_Frequently,Research & Development,23,Primaria,Life Sciences,Baja,Baja,1,Research Scientist,Baja,Divorced,2613,1,No,25,Muy_Alta,Alta,3,10,2,10,0,9
160,33,0,Non-Travel,Sales,22,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6146,0,No,13,Alta,Baja,1,8,2,7,0,7
161,56,1,Travel_Rarely,Research & Development,14,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,4963,9,Yes,18,Alta,Baja,3,7,2,5,4,3
162,51,0,Travel_Rarely,Research & Development,6,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Single,19537,7,No,13,Alta,Alta,0,23,5,20,15,15
163,31,1,Travel_Rarely,Sales,6,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,6172,4,Yes,18,Alta,Media,0,12,3,7,7,7
164,26,0,Travel_Rarely,Research & Development,6,Secundaria,Other,Alta,Media,1,Research Scientist,Media,Married,2368,1,No,19,Alta,Alta,0,5,3,5,4,3
165,58,1,Travel_Rarely,Research & Development,23,Universitaria,Medical,Muy_Alta,Alta,3,Healthcare Representative,Alta,Married,10312,1,No,12,Alta,Muy_Alta,1,40,3,40,15,6
167,19,1,Travel_Rarely,Sales,22,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Single,1675,1,Yes,19,Alta,Muy_Alta,0,0,2,0,0,0
169,22,0,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Married,2523,0,No,14,Alta,Alta,1,3,2,2,2,1
170,49,0,Travel_Rarely,Research & Development,20,Universitaria,Medical,Alta,Alta,2,Manufacturing Director,Alta,Married,6567,1,No,14,Alta,Alta,0,16,2,15,5,11
171,43,0,Travel_Frequently,Research & Development,28,Master,Medical,Media,Muy_Alta,1,Research Scientist,Muy_Alta,Single,4739,4,No,12,Alta,Muy_Alta,0,18,2,3,1,2
174,50,0,Travel_Frequently,Sales,12,Universitaria,Marketing,Alta,Alta,3,Sales Executive,Alta,Single,9208,4,No,11,Alta,Muy_Alta,0,16,3,2,2,1
175,31,1,Travel_Rarely,Sales,20,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,4559,3,Yes,11,Alta,Alta,1,4,2,2,2,2
176,41,0,Travel_Rarely,Sales,9,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Divorced,8189,3,Yes,13,Alta,Alta,1,12,2,9,0,7
177,26,0,Travel_Rarely,Human Resources,25,Universitaria,Life Sciences,Alta,Alta,1,Human Resources,Alta,Married,2942,1,No,23,Muy_Alta,Muy_Alta,1,8,3,8,5,7
178,36,0,Travel_Rarely,Research & Development,6,Universitaria,Medical,Media,Alta,2,Manufacturing Director,Alta,Divorced,4941,6,No,20,Muy_Alta,Muy_Alta,2,7,0,3,0,1
179,51,1,Travel_Frequently,Research & Development,8,Primaria,Life Sciences,Baja,Baja,3,Manufacturing Director,Baja,Single,10650,2,No,15,Alta,Muy_Alta,0,18,2,4,0,3
182,39,0,Travel_Rarely,Sales,4,Secundaria,Life Sciences,Muy_Alta,Media,2,Sales Executive,Media,Married,5902,4,No,14,Alta,Alta,1,17,1,15,5,9
183,25,0,Travel_Rarely,Sales,28,Secundaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Married,8639,2,No,18,Alta,Muy_Alta,0,6,3,2,2,2
184,30,0,Travel_Rarely,Human Resources,9,Universitaria,Human Resources,Alta,Alta,2,Human Resources,Alta,Married,6347,0,Yes,19,Alta,Muy_Alta,0,12,2,11,4,7
190,32,1,Travel_Rarely,Research & Development,9,Universitaria,Medical,Baja,Alta,1,Laboratory Technician,Alta,Single,4200,7,No,22,Muy_Alta,Baja,0,10,2,5,0,4
192,45,0,Travel_Rarely,Research & Development,29,Universitaria,Medical,Alta,Alta,1,Research Scientist,Alta,Single,3452,5,No,13,Alta,Media,0,9,2,6,0,3
193,38,0,Travel_Rarely,Research & Development,3,Universitaria,Technical Degree,Muy_Alta,Alta,2,Research Scientist,Alta,Single,4317,3,Yes,20,Muy_Alta,Media,0,19,2,3,2,2
194,30,0,Travel_Rarely,Research & Development,18,Universitaria,Life Sciences,Baja,Alta,1,Research Scientist,Alta,Single,2632,1,No,14,Alta,Alta,0,5,4,5,0,4
195,32,0,Travel_Frequently,Sales,9,Primaria,Medical,Muy_Alta,Baja,2,Sales Executive,Baja,Divorced,4668,0,No,17,Alta,Muy_Alta,3,9,2,8,0,7
197,30,0,Travel_Rarely,Research & Development,5,Universitaria,Technical Degree,Muy_Alta,Alta,1,Research Scientist,Alta,Divorced,3204,5,No,14,Alta,Muy_Alta,1,8,3,3,2,2
198,30,0,Travel_Rarely,Research & Development,2,Secundaria,Medical,Media,Media,1,Laboratory Technician,Media,Single,2720,0,No,13,Alta,Muy_Alta,0,6,3,5,1,2
199,41,0,Travel_Frequently,Research & Development,10,Secundaria,Life Sciences,Muy_Alta,Media,4,Manager,Media,Divorced,17181,4,No,13,Alta,Media,1,21,2,7,7,7
200,41,0,Travel_Rarely,Research & Development,9,Universitaria,Life Sciences,Alta,Alta,1,Laboratory Technician,Alta,Married,2238,2,No,21,Muy_Alta,Muy_Alta,1,7,2,5,1,4
